ID,FULLNAME,TEAM,FIRST YR,SEASON,EXP,SLUMP,AGE,GAMES,GSTART,CARRIES,YARDS,TD,LONG,FUMBLES,YPC,YPG,APG,TARGETS,RECS,REC YDS,YPR,REC TDS,REC LONG,REC PG,REC YPG,CATCH_PERCENT,YSCRIM,TOTAL TD,OLINE RANK
266,Joe Montgomery,NYG,1999,2000,2,,24,3,0,1,4,1,4,0,4,1.3,0.3,0,0,0,0,0,0,0,0,0,4,1,21
267,Edgerrin James,IND,1999,1999,1,,21,16,16,369,1553,13,72,8,4.2,97.1,23.1,82,62,586,9.5,4,54,3.9,36.6,0.76,2139,17,15
268,Olandis Gary,DEN,1999,1999,1,,24,12,12,276,1159,7,71,2,4.2,96.6,23,29,21,159,7.6,0,21,1.8,13.3,0.72,1318,7,18
269,Ricky Williams,NO,1999,1999,1,,22,12,12,253,884,2,25,6,3.5,73.7,21.1,40,28,172,6.1,0,29,2.3,14.3,0.7,1056,2,27
270,J.J. Johnson,MIA,1999,1999,1,,25,13,4,164,558,4,34,2,3.4,42.9,12.6,23,15,100,6.7,0,17,1.2,7.7,0.65,658,4,23
271,Cecil Collins,MIA,1999,1999,1,,23,8,6,131,414,2,25,2,3.2,51.8,16.4,8,6,32,5.3,0,12,0.8,4,0.75,446,2,23
272,Joe Montgomery,NYG,1999,1999,1,,23,7,5,115,348,3,14,2,3,49.7,16.4,1,0,0,0,0,0,0,0,0,348,3,25
273,Fred Taylor,JAC,1998,1999,2,,23,10,9,159,732,6,52,0,4.6,73.2,15.9,15,10,83,8.3,0,41,1,8.3,0.67,815,6,10
274,Robert Edwards,NE,1998,1999,2,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
275,John Avery,MIA,1998,1999,2,,23,7,0,5,21,0,11,0,4.2,3,0.7,9,4,24,6,0,11,0.6,3.4,0.44,45,0,23
276,Curtis Enis,CHI,1998,1999,2,,23,15,12,287,916,3,19,4,3.2,61.1,19.1,68,45,340,7.6,2,28,3,22.7,0.66,1256,5,24
277,Skip Hicks,WAS,1998,1999,2,,25,10,2,78,257,3,24,1,3.3,25.7,7.8,10,8,72,9,0,25,0.8,7.2,0.8,329,3,1
278,Fred Taylor,JAC,1998,1998,1,,22,15,12,264,1223,14,77,3,4.6,81.5,17.6,53,44,421,9.6,3,78,2.9,28.1,0.83,1644,17,17
279,Robert Edwards,NE,1998,1998,1,,24,16,15,291,1115,9,53,5,3.8,69.7,18.2,52,35,331,9.5,3,46,2.2,20.7,0.67,1446,12,23
280,John Avery,MIA,1998,1998,1,,22,16,0,143,503,2,44,5,3.5,31.4,8.9,15,10,67,6.7,1,19,0.6,4.2,0.67,570,3,28
281,Curtis Enis,CHI,1998,1998,1,,22,9,1,133,497,0,29,1,3.7,55.2,14.8,8,6,20,3.3,0,7,0.7,2.2,0.75,517,0,15
282,Skip Hicks,WAS,1998,1998,1,,24,9,5,122,433,8,28,0,3.5,48.1,13.6,8,4,23,5.8,0,9,0.4,2.6,0.5,456,8,7
283,Corey Dillon,CIN,1997,1998,2,,24,15,15,262,1130,4,66,2,4.3,75.3,17.5,44,28,178,6.4,1,41,1.9,11.9,0.64,1308,5,21
284,Warrick Dunn,TB,1997,1998,2,,23,16,14,245,1026,2,50,1,4.2,64.1,15.3,57,44,344,7.8,0,31,2.8,21.5,0.77,1370,2,6
285,Antowain Smith,BUF,1997,1998,2,,26,16,14,300,1124,8,30,5,3.7,70.3,18.8,11,5,11,2.2,0,9,0.3,0.7,0.46,1135,8,4
286,Fred Lane,CAR,1997,1998,2,,23,14,11,205,717,5,31,4,3.5,51.2,14.6,15,12,85,7.1,0,16,0.9,6.1,0.8,802,5,20
287,Tiki Barber,NYG,1997,1998,2,,23,16,4,52,166,0,23,1,3.2,10.4,3.3,59,42,348,8.3,3,87,2.6,21.8,0.71,514,3,8
288,Darnell Autry,CHI,1997,1998,2,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
289,Corey Dillon,CIN,1997,1997,1,,23,16,6,233,1129,10,75,1,4.8,70.6,14.6,33,27,259,9.6,0,28,1.7,16.2,0.82,1388,10,16
290,Warrick Dunn,TB,1997,1997,1,,22,16,10,224,978,4,76,4,4.4,61.1,14,56,39,462,11.8,3,59,2.4,28.9,0.7,1440,7,17
291,Antowain Smith,BUF,1997,1997,1,,25,16,0,194,840,8,56,4,4.3,52.5,12.1,47,28,177,6.3,0,19,1.8,11.1,0.6,1017,8,15
292,Fred Lane,CAR,1997,1997,1,,22,13,7,182,809,7,50,4,4.4,62.2,14,13,8,27,3.4,0,7,0.6,2.1,0.62,836,7,3
293,Tiki Barber,NYG,1997,1997,1,,22,12,6,136,511,3,42,3,3.8,42.6,11.3,54,34,299,8.8,1,29,2.8,24.9,0.63,810,4,12
294,Darnell Autry,CHI,1997,1997,1,,21,13,3,112,319,1,17,2,2.8,24.5,8.6,14,9,59,6.6,0,14,0.7,4.5,0.64,378,1,24
295,Eddie George,TEN,1996,1997,2,,24,16,16,357,1399,6,30,4,3.9,87.4,22.3,12,7,44,6.3,1,15,0.4,2.8,0.58,1443,7,2
296,Karim Abdul-Jabbar,MIA,1996,1997,2,,23,16,14,283,892,15,22,3,3.2,55.8,17.7,49,29,261,9,1,36,1.8,16.3,0.59,1153,16,23
297,Lawrence Phillips,STL,1996,1997,2,,22,12,9,201,677,8,28,3,3.4,56.4,16.8,19,11,39,3.5,0,17,0.9,3.3,0.58,716,8,26
298,Eddie George,HOU,1996,1996,1,,23,16,16,335,1368,8,76,3,4.1,85.5,20.9,28,23,182,7.9,0,17,1.4,11.4,0.82,1550,8,20
299,Karim Abdul-Jabbar,MIA,1996,1996,1,,22,16,14,307,1116,11,29,4,3.6,69.8,19.2,46,23,139,6,0,23,1.4,8.7,0.5,1255,11,16
